meme;text0;text1
Bad-Luck-Brian;Starts Prank War at Work;Regrets coming to work from then on
Bad-Luck-Brian;"""i hate life"" he said";Ha! you're in the after-life!
Bad-Luck-Brian;Glass half full;of poison
Bad-Luck-Brian;started from the bottom ;still at the bottom
Bad-Luck-Brian;gets a high score ;golf
Bad-Luck-Brian;Puts up armed citzen we dont call police sign;Guns stolen
Bad-Luck-Brian;Starts a war against France;Loses
Bad-Luck-Brian;this kid grew up to be;An ISIS bomber
Bad-Luck-Brian;Puts knife on the table;gets cut
Bad-Luck-Brian;Tells loudmouth in movie theatre to shut up;aurora colorado movie theatre shooter
Bad-Luck-Brian;gets invited to first party;Communist party
Bad-Luck-Brian;Takes ex-lax;gets stuck in broken elevator
Bad-Luck-Brian;Makes his crush laugh so hard that she peed herself;she laughed because he asked her on a date
Bad-Luck-Brian;You know you're in the friendzone;"when she uses ""aw"" in her texts"
Bad-Luck-Brian;THINKS OF KILLER COMMENT;FIVE SECONDS LATE
Bad-Luck-Brian;Finally gets a picture of senpai;It came out blurry.
Bad-Luck-Brian;Give me 30 mins;30 mins later...
Bad-Luck-Brian;millennials;the kid is smarter than all of them and is hung like a horse thus the big smile
Bad-Luck-Brian;Asks god for good health;get's cancer, diabetes, ALS, ebola, autism in the same month
Bad-Luck-Brian;Loses ugly sweater contest;Winner didn't even try
Bad-Luck-Brian;went to the writing center;forgot to make revisions
Bad-Luck-Brian;GEts a fair Trial;Still accused
Bad-Luck-Brian;escapes forest fire;raped by forrest gump
Bad-Luck-Brian;Goes on meme generator to make a funny meme;Sees that he is the funny meme
Bad-Luck-Brian;Burning bridge jumps in water ;Boat hits him
Bad-Luck-Brian;is the only contestant;gets 3rd place
Bad-Luck-Brian;Finishes edgenuity with 100%;Fails unit test
Bad-Luck-Brian;Creates league to bolster self confidence;worse than marisa 
Bad-Luck-Brian;Spakował wszystko;po premi za odbieranie pracy innym
Bad-Luck-Brian;GETS 4.0 IN COLLEGE;ROBOT DOES JOB BETTER THAN HIM
Bad-Luck-Brian;Used google;found all the wrong information
Bad-Luck-Brian;FINDS a 64gb pendrive;USB killer
Bad-Luck-Brian;Inspection day;DOESN'T SHAVE
Bad-Luck-Brian;Fantasy Football Commissioner;Extends regular season to give himself a shot at the playoffs
Bad-Luck-Brian;sleeps over at a girls house;wets the bed
Bad-Luck-Brian;Mmnknkninin;Jnjnubihbhubhuv
Bad-Luck-Brian;Went to lover's house to sin it up;Dies of the flu
Bad-Luck-Brian;makes it to ilm as senior artist with 10yrs plus  experience ;forgets how to use a computer
Bad-Luck-Brian;founds a 64 gb pendrive;USB killer
Bad-Luck-Brian;follows directions;is called a insurgent anyways
Bad-Luck-Brian;big birthday coming up;day before final exam 
Bad-Luck-Brian;Goes to school on wednesday;misses thursday and niki minaj comes to school
Bad-Luck-Brian;TRIES TO LOG AN ASAP;LOCKS OUT THE WEBSITE
Bad-Luck-Brian;doesn't believe in god;struck by lightning 
Bad-Luck-Brian;ROCKS HIGH SCHOOL PRESENTATION;NO QUALIFIED LEADS
Bad-Luck-Brian;Captures level 40 Latias;Gets wrecked by best friend's level 100 Zekrom
Bad-Luck-Brian;Gets A Team Kill in overwatch;Mercy Uses Ult
Bad-Luck-Brian;gets invited to a pick 'em league;never wins a game
Bad-Luck-Brian;Pulls netballer;rachel cooper 
Bad-Luck-Brian;Jumps off building after being put on PIP;Survives
Bad-Luck-Brian;Typed up science reflection;forgot to print it out
Bad-Luck-Brian;thinks ad is relatable;most hated ad of all time
Bad-Luck-Brian;Spends all day in the woods;Deer laugh 
Bad-Luck-Brian;i drank milk, expired milk;thug life!!
Bad-Luck-Brian;I drank milk, expired milk;thug life!!
Bad-Luck-Brian;types 'rm -rf';Accidentally types '/' as argument
Bad-Luck-Brian;studies the textbook every night ;Doesn't read the ti tips
Bad-Luck-Brian;Doesn't come to mandatory house meeting;Gets charged $50 for not taking out trash
Bad-Luck-Brian;Does everyday of WBS study except day 6;WBS leader always asks questions from day 6
Bad-Luck-Brian;Treated for uti;gets c. diff
Bad-Luck-Brian;4 years study in uni pass all certification exams;no job
Bad-Luck-Brian;"""it's okay guys, my tac overheads are good. i'll just do that on my checkride"" -Lt Kellarakos";Hooks for Tac overhead
Bad-Luck-Brian;"""it's okay guys, i love tac overheads. i'll just do that for my checkride""";hooks check ride
Bad-Luck-Brian;queues up for ranked;"""Death is like the wind; always by my side."""
Bad-Luck-Brian;buying 1st home;can't afford a home inspection
Bad-Luck-Brian;Invited To Secret Santa;Jewish
Bad-Luck-Brian;Tanks mythic dragons for the first time;Gets killed in 2 hits
Bad-Luck-Brian;Asked out a girl ;Has one more sister 
Bad-Luck-Brian;SOLUTION ORIENTED;300 NYA KUNDNUMMER
Bad-Luck-Brian;solves horror car dispute after 3 months;gets a new one assigned 5 min later
Bad-Luck-Brian;Plays Fiora into Singed;Singed Fully Stacks Mejai's
Bad-Luck-Brian;Has sex once;Full blown AIDS
Bad-Luck-Brian;walks into school;starts showing off his parachute pants
Bad-Luck-Brian;Gets laid after a night out;Anette Bjørge
Bad-Luck-Brian;Has controller to play Rocket League;Just Plays Crusader Kings
Bad-Luck-Brian;Goes to band class;Gets high af
Bad-Luck-Brian;provides NG:RP plagiarized link on topic;banned for server advertisement
Bad-Luck-Brian;Haynes Whorley Picture day 2006;He already went through puberty?
Bad-Luck-Brian;Survives until the end of Hamlet;watches Norway take over Denmark
Bad-Luck-Brian;Matt goes to get a bj;Ends up with a pizza
Bad-Luck-Brian;wait wait wait;fiona is an ogre
Bad-Luck-Brian;Tries to deadlift 405 with his gym bro;doesn't...
Bad-Luck-Brian;Somewhere;A village is missing it's idiot
Bad-Luck-Brian;Finally gets over speech impediment;Is given one by the handicapper general 
Bad-Luck-Brian;"""blocks out the haters""";Still replies to them
Bad-Luck-Brian;YEER;TWO FIFDI
Bad-Luck-Brian;when you forget to finish a paper;and you think your teacher is cool with it
Bad-Luck-Brian;Gets offered Birthday  Cake;Birthday passed 2weeks ago  
Bad-Luck-Brian;We're gonna need your foreskin;
Bad-Luck-Brian;misses mandatory floor meeting;gets written up for fire violations
Bad-Luck-Brian;misses mandatory floor meeting;gets written up for fire violations
Bad-Luck-Brian;tries to warn his friends that the beast isnt real ;dies
Bad-Luck-Brian;Has a Beautiful Wife;King David sends him to the front line to die
Bad-Luck-Brian;plays free league;scores higher than top 5%
Bad-Luck-Brian;participates in a pissing contest;shits
Bad-Luck-Brian;When u napsat e-mail o rozbitejch bakalářích;But bakaláři už jsou fixed
Bad-Luck-Brian;Finally reads the book;its all wrong
Bad-Luck-Brian;Go Vegetarian;or end up like this!
Bad-Luck-Brian;Did nothing wrong ;Everyone hates him @babaloopey
Bad-Luck-Brian;No Engagement Points;Fails Dynamics
Bad-Luck-Brian;got a new phone ;dropped it seconds later
Bad-Luck-Brian;when you don't do apoptosis when scheduled;is happy to be alive then realizes you are cancer
Bad-Luck-Brian;When you don't do apoptosis when scheduled;is happy to be alive then realizes you are cancer
Conspiracy-Keanu;Nobody ever up votes my posts, ;Because I only post original content. 
Conspiracy-Keanu;What if shitty music is only popular;Because 13yr old girls are the only ones who still buy music?
Conspiracy-Keanu;;we had to wear deodorant?
Conspiracy-Keanu;Wait...did you say mix the pre with the post? Or the pro the the pre?;Perhaps its half scoop of pre with a full scoop of pro, or is it a full scoop of pre and a half scoop of post? Or do you mix the pro the post? When do you eat the gummy bears?
Conspiracy-Keanu;Wait...did you say mix the pro with the pre or the post with the pro? Or is it the pre with the post? ;Maybe its half pre and half pro, or maybe half post and a full scoop of pre? Whete does the pro come in? ....how many gummy bears do you eat again?
Conspiracy-Keanu;what if money isn't real;and no one actually needed to work...
Conspiracy-Keanu;what if money isn't real;and we actually don't need to work...
Conspiracy-Keanu;What If I Told Chris I'd Buy Rocket League If He Sends Me A Controller;But I Just Keep Playing Crusader Kings
Conspiracy-Keanu;what if we can still really use oracle;and the month end thing is a conspiracy
Conspiracy-Keanu;;DS ÜBUNG HEUTE
Conspiracy-Keanu;What if Osama Bin Laden attacked the World Trade Center and Pentagon on 9/11;Knowing we would bankrupt ourselves in perpetual warfare
Conspiracy-Keanu;Wait... What if you thrown out of your school for wasting your parents money...;Dont worry... Go and beg near political figure... He will make you feel important
Conspiracy-Keanu;not creia certified?;what are you then?
Conspiracy-Keanu;What if this news about fake news is;actually fake news
Conspiracy-Keanu;;that moment u realize that  ur friend is an idiot
Conspiracy-Keanu;What if;your wife is the hacker
Conspiracy-Keanu;;Realizing your friend is an idiot 
Conspiracy-Keanu;;HOW DID THEY DO IT?
Conspiracy-Keanu;what if pick 'em;is just a way for mike to promote his blog?
Conspiracy-Keanu;Session 3;who knows what a Bank is?
Conspiracy-Keanu;WHEN YOU SEE;DONALD TRUMP
Conspiracy-Keanu;so you are opposed to Russian communism where the state is run by oligarchs who force business to do their will under threat, and value free markets..;But you are fine with Trump, a billionaire businessman (oligarch)  leaning on Carrier with threats and tax payer money?!!
Conspiracy-Keanu;If 54,547 people die of drunk driving in a year;how many die in 365 days?
Conspiracy-Keanu;loosed dare so;is fettered to a lampost
Conspiracy-Keanu;Finding out the Mix it up;coffee shop is closing
Conspiracy-Keanu;WHAT IF TRIBAL ALLIES OF THE DAKOTA TRIBE;SET FIRE TO TENNESSEE. LIKE BLM DO TO CITIES..
Conspiracy-Keanu;;we had to wear deodorant?
Conspiracy-Keanu;Wait...did you say mix the pre with the post? Or the pro the the pre?;Perhaps its half scoop of pre with a full scoop of pro, or is it a full scoop of pre and a half scoop of post? Or do you mix the pro the post? When do you eat the gummy bears?
Conspiracy-Keanu;Wait...did you say mix the pro with the pre or the post with the pro? Or is it the pre with the post? ;Maybe its half pre and half pro, or maybe half post and a full scoop of pre? Whete does the pro come in? ....how many gummy bears do you eat again?
Conspiracy-Keanu;what if money isn't real;and no one actually needed to work...
Conspiracy-Keanu;what if money isn't real;and we actually don't need to work...
Conspiracy-Keanu;What If I Told Chris I'd Buy Rocket League If He Sends Me A Controller;But I Just Keep Playing Crusader Kings
Conspiracy-Keanu;what if we can still really use oracle;and the month end thing is a conspiracy
Conspiracy-Keanu;;DS ÜBUNG HEUTE
Conspiracy-Keanu;What if Osama Bin Laden attacked the World Trade Center and Pentagon on 9/11;Knowing we would bankrupt ourselves in perpetual warfare
Conspiracy-Keanu;Wait... What if you thrown out of your school for wasting your parents money...;Dont worry... Go and beg near political figure... He will make you feel important
Conspiracy-Keanu;not creia certified?;what are you then?
Conspiracy-Keanu;What if this news about fake news is;actually fake news
Conspiracy-Keanu;;that moment u realize that  ur friend is an idiot
Conspiracy-Keanu;What if;your wife is the hacker
Conspiracy-Keanu;;Realizing your friend is an idiot 
Conspiracy-Keanu;;HOW DID THEY DO IT?
Conspiracy-Keanu;what if pick 'em;is just a way for mike to promote his blog?
Conspiracy-Keanu;Session 3;who knows what a Bank is?
Conspiracy-Keanu;WHEN YOU SEE;DONALD TRUMP
Conspiracy-Keanu;so you are opposed to Russian communism where the state is run by oligarchs who force business to do their will under threat, and value free markets..;But you are fine with Trump, a billionaire businessman (oligarch)  leaning on Carrier with threats and tax payer money?!!
Conspiracy-Keanu;If 54,547 people die of drunk driving in a year;how many die in 365 days?
Conspiracy-Keanu;loosed dare so;is fettered to a lampost
Conspiracy-Keanu;Finding out the Mix it up;coffee shop is closing
Conspiracy-Keanu;WHAT IF TRIBAL ALLIES OF THE DAKOTA TRIBE;SET FIRE TO TENNESSEE. LIKE BLM DO TO CITIES..
Conspiracy-Keanu;;we had to wear deodorant?
Conspiracy-Keanu;Wait...did you say mix the pre with the post? Or the pro the the pre?;Perhaps its half scoop of pre with a full scoop of pro, or is it a full scoop of pre and a half scoop of post? Or do you mix the pro the post? When do you eat the gummy bears?
Conspiracy-Keanu;Wait...did you say mix the pro with the pre or the post with the pro? Or is it the pre with the post? ;Maybe its half pre and half pro, or maybe half post and a full scoop of pre? Whete does the pro come in? ....how many gummy bears do you eat again?
Conspiracy-Keanu;what if money isn't real;and no one actually needed to work...
Conspiracy-Keanu;what if money isn't real;and we actually don't need to work...
Conspiracy-Keanu;What If I Told Chris I'd Buy Rocket League If He Sends Me A Controller;But I Just Keep Playing Crusader Kings
Conspiracy-Keanu;what if we can still really use oracle;and the month end thing is a conspiracy
Conspiracy-Keanu;;DS ÜBUNG HEUTE
Conspiracy-Keanu;What if Osama Bin Laden attacked the World Trade Center and Pentagon on 9/11;Knowing we would bankrupt ourselves in perpetual warfare
Conspiracy-Keanu;Wait... What if you thrown out of your school for wasting your parents money...;Dont worry... Go and beg near political figure... He will make you feel important
Conspiracy-Keanu;not creia certified?;what are you then?
Conspiracy-Keanu;What if this news about fake news is;actually fake news
Conspiracy-Keanu;;that moment u realize that  ur friend is an idiot
Conspiracy-Keanu;What if;your wife is the hacker
Conspiracy-Keanu;;Realizing your friend is an idiot 
Conspiracy-Keanu;;HOW DID THEY DO IT?
Conspiracy-Keanu;what if pick 'em;is just a way for mike to promote his blog?
Conspiracy-Keanu;Session 3;who knows what a Bank is?
Conspiracy-Keanu;WHEN YOU SEE;DONALD TRUMP
Conspiracy-Keanu;so you are opposed to Russian communism where the state is run by oligarchs who force business to do their will under threat, and value free markets..;But you are fine with Trump, a billionaire businessman (oligarch)  leaning on Carrier with threats and tax payer money?!!
Conspiracy-Keanu;If 54,547 people die of drunk driving in a year;how many die in 365 days?
Conspiracy-Keanu;loosed dare so;is fettered to a lampost
Conspiracy-Keanu;Finding out the Mix it up;coffee shop is closing
Conspiracy-Keanu;WHAT IF TRIBAL ALLIES OF THE DAKOTA TRIBE;SET FIRE TO TENNESSEE. LIKE BLM DO TO CITIES..
Conspiracy-Keanu;;we had to wear deodorant?
Conspiracy-Keanu;Wait...did you say mix the pre with the post? Or the pro the the pre?;Perhaps its half scoop of pre with a full scoop of pro, or is it a full scoop of pre and a half scoop of post? Or do you mix the pro the post? When do you eat the gummy bears?
Conspiracy-Keanu;Wait...did you say mix the pro with the pre or the post with the pro? Or is it the pre with the post? ;Maybe its half pre and half pro, or maybe half post and a full scoop of pre? Whete does the pro come in? ....how many gummy bears do you eat again?
Conspiracy-Keanu;what if money isn't real;and no one actually needed to work...
Conspiracy-Keanu;what if money isn't real;and we actually don't need to work...
Conspiracy-Keanu;What If I Told Chris I'd Buy Rocket League If He Sends Me A Controller;But I Just Keep Playing Crusader Kings
Conspiracy-Keanu;what if we can still really use oracle;and the month end thing is a conspiracy
Conspiracy-Keanu;;DS ÜBUNG HEUTE
Conspiracy-Keanu;What if Osama Bin Laden attacked the World Trade Center and Pentagon on 9/11;Knowing we would bankrupt ourselves in perpetual warfare
Conspiracy-Keanu;Wait... What if you thrown out of your school for wasting your parents money...;Dont worry... Go and beg near political figure... He will make you feel important
Conspiracy-Keanu;not creia certified?;what are you then?
Conspiracy-Keanu;What if this news about fake news is;actually fake news
Conspiracy-Keanu;;that moment u realize that  ur friend is an idiot
Conspiracy-Keanu;What if;your wife is the hacker
Conspiracy-Keanu;;Realizing your friend is an idiot 
Conspiracy-Keanu;;HOW DID THEY DO IT?
Conspiracy-Keanu;what if pick 'em;is just a way for mike to promote his blog?
Conspiracy-Keanu;Session 3;who knows what a Bank is?
Conspiracy-Keanu;WHEN YOU SEE;DONALD TRUMP
Conspiracy-Keanu;so you are opposed to Russian communism where the state is run by oligarchs who force business to do their will under threat, and value free markets..;But you are fine with Trump, a billionaire businessman (oligarch)  leaning on Carrier with threats and tax payer money?!!
Conspiracy-Keanu;If 54,547 people die of drunk driving in a year;how many die in 365 days?
Conspiracy-Keanu;loosed dare so;is fettered to a lampost
Conspiracy-Keanu;Wait...did you say mix the pro with the pre or the post with the pro? Or is it the pre with the post? ;Maybe its half pre and half pro, or maybe half post and a full scoop of pre? Whete does the pro come in? ....how many gummy bears do you eat again?
Conspiracy-Keanu;Wait...did you say mix the pre with the post? Or the pro the the pre?;Perhaps its half scoop of pre with a full scoop of pro, or is it a full scoop of pre and a half scoop of post? Or do you mix the pro the post? When do you eat the gummy bears?
Conspiracy-Keanu;;we had to wear deodorant?
Conspiracy-Keanu;WHAT IF TRIBAL ALLIES OF THE DAKOTA TRIBE;SET FIRE TO TENNESSEE. LIKE BLM DO TO CITIES..
Conspiracy-Keanu;Finding out the Mix it up;coffee shop is closing
Conspiracy-Keanu;Finding out the local ;Computer shop is closing
Conspiracy-Keanu;gustavo;na bunada não vai dinha ?
Conspiracy-Keanu;So, you're telling me;My dbms handles its own auto incrementing key?
